age,workclass,education_num,marital_status,occupation,race,sex_female,capital_gain,capital_loss,hours_per_week,income_>50k
39, gov,13.0, Never-married, Adm-clerical, White,0,2174.0,0.0,40.0,0
50, Self-employed,13.0, married, Exec-managerial, White,0,0.0,0.0,13.0,0
38, Private,9.0, separated, Handlers-cleaners, White,0,0.0,0.0,40.0,0
53, Private,7.0, married, Handlers-cleaners, Black,0,0.0,0.0,40.0,0
28, Private,13.0, married, Prof-specialty, Black,1,0.0,0.0,40.0,0
37, Private,14.0, married, Exec-managerial, White,1,0.0,0.0,40.0,0
49, Private,5.0, married, Other-service, Black,1,0.0,0.0,16.0,0
52, Self-employed,9.0, married, Exec-managerial, White,0,0.0,0.0,45.0,1
31, Private,14.0, Never-married, Prof-specialty, White,1,14084.0,0.0,50.0,1
42, Private,13.0, married, Exec-managerial, White,0,5178.0,0.0,40.0,1
37, Private,10.0, married, Exec-managerial, Black,0,0.0,0.0,80.0,1
30, gov,13.0, married, Prof-specialty, Asian-Pac-Islander,0,0.0,0.0,40.0,1
23, Private,13.0, Never-married, Adm-clerical, White,1,0.0,0.0,30.0,0
32, Private,12.0, Never-married, Sales, Black,0,0.0,0.0,50.0,0
40, Private,11.0, married, Craft-repair, Asian-Pac-Islander,0,0.0,0.0,40.0,1
34, Private,4.0, married, Transport-moving, Amer-Indian-Eskimo,0,0.0,0.0,45.0,0
25, Self-employed,9.0, Never-married, Farming-fishing, White,0,0.0,0.0,35.0,0
32, Private,9.0, Never-married, Machine-op-inspct, White,0,0.0,0.0,40.0,0
38, Private,7.0, married, Sales, White,0,0.0,0.0,50.0,0
43, Self-employed,14.0, separated, Exec-managerial, White,1,0.0,0.0,45.0,1
40, Private,16.0, married, Prof-specialty, White,0,0.0,0.0,60.0,1
54, Private,9.0, separated, Other-service, Black,1,0.0,0.0,20.0,0
35, gov,5.0, married, Farming-fishing, Black,0,0.0,0.0,40.0,0
43, Private,7.0, married, Transport-moving, White,0,0.0,2042.0,40.0,0
59, Private,9.0, separated, Tech-support, White,1,0.0,0.0,40.0,0
56, gov,13.0, married, Tech-support, White,0,0.0,0.0,40.0,1
19, Private,9.0, Never-married, Craft-repair, White,0,0.0,0.0,40.0,0
39, Private,9.0, separated, Exec-managerial, White,0,0.0,0.0,80.0,0
49, Private,9.0, married, Craft-repair, White,0,0.0,0.0,40.0,0
23, gov,12.0, Never-married, Protective-serv, White,0,0.0,0.0,52.0,0
20, Private,10.0, Never-married, Sales, Black,0,0.0,0.0,44.0,0
45, Private,13.0, separated, Exec-managerial, White,0,0.0,1408.0,40.0,0
30, gov,10.0, married, Adm-clerical, White,0,0.0,0.0,40.0,0
22, gov,10.0, married, Other-service, Black,0,0.0,0.0,15.0,0
48, Private,7.0, Never-married, Machine-op-inspct, White,0,0.0,0.0,40.0,0
21, Private,10.0, Never-married, Machine-op-inspct, White,0,0.0,0.0,40.0,0
19, Private,9.0, married, Adm-clerical, White,1,0.0,0.0,25.0,0
31, Private,10.0, married, Sales, White,0,0.0,0.0,38.0,1
48, Self-employed,12.0, married, Prof-specialty, White,0,0.0,0.0,40.0,0
31, Private,5.0, married, Machine-op-inspct, White,0,0.0,0.0,43.0,0
53, Self-employed,13.0, married, Prof-specialty, White,0,0.0,0.0,40.0,0
24, Private,13.0, married, Tech-support, White,0,0.0,0.0,50.0,0
49, Private,9.0, separated, Adm-clerical, White,1,0.0,0.0,40.0,0
25, Private,9.0, Never-married, Handlers-cleaners, White,0,0.0,0.0,35.0,0
57, gov,13.0, married, Prof-specialty, Black,0,0.0,0.0,40.0,1
53, Private,9.0, married, Machine-op-inspct, White,0,0.0,0.0,38.0,0
44, Private,14.0, separated, Exec-managerial, White,1,0.0,0.0,40.0,0
41, gov,11.0, married, Craft-repair, White,0,0.0,0.0,40.0,0
29, Private,11.0, Never-married, Prof-specialty, White,0,0.0,0.0,43.0,0
25, Private,10.0, married, Exec-managerial, Other,1,0.0,0.0,40.0,0
18, Private,9.0, Never-married, Other-service, White,1,0.0,0.0,30.0,0
47, Private,15.0, married, Prof-specialty, White,1,0.0,1902.0,60.0,1
50, gov,13.0, separated, Exec-managerial, White,0,0.0,0.0,55.0,1
47, Self-employed,9.0, separated, Exec-managerial, White,0,0.0,0.0,60.0,0
43, Private,10.0, married, Tech-support, White,0,0.0,0.0,40.0,1
46, Private,3.0, married, Machine-op-inspct, White,0,0.0,0.0,40.0,0
35, Private,11.0, married, Other-service, White,0,0.0,0.0,40.0,0
41, Private,9.0, married, Adm-clerical, White,0,0.0,0.0,48.0,0
30, Private,9.0, married, Machine-op-inspct, White,0,5013.0,0.0,40.0,0
30, Private,13.0, married, Sales, White,0,2407.0,0.0,40.0,0
48, Private,9.0, married, Transport-moving, White,0,0.0,0.0,40.0,0
42, Private,16.0, married, Prof-specialty, White,0,0.0,0.0,45.0,1
29, Private,10.0, separated, Tech-support, White,0,0.0,0.0,58.0,0
36, Private,9.0, married, Craft-repair, White,0,0.0,0.0,40.0,0
28, Private,10.0, separated, Adm-clerical, White,1,0.0,0.0,40.0,0
53, Private,9.0, married, Adm-clerical, White,1,0.0,0.0,40.0,1
49, Self-employed,10.0, married, Exec-managerial, White,0,0.0,0.0,50.0,1
19, Private,10.0, Never-married, Prof-specialty, White,0,0.0,0.0,32.0,0
31, Private,13.0, separated, Sales, Black,1,0.0,0.0,40.0,0
29, Self-employed,13.0, married, Sales, White,0,0.0,0.0,70.0,1
23, Private,10.0, Never-married, Machine-op-inspct, White,0,0.0,0.0,40.0,0
79, Private,10.0, married, Prof-specialty, White,0,0.0,0.0,20.0,0
27, Private,9.0, Never-married, Other-service, White,0,0.0,0.0,40.0,0
40, Private,12.0, married, Adm-clerical, White,0,0.0,0.0,40.0,0
18, Private,7.0, Never-married, Other-service, White,1,0.0,0.0,22.0,0
31, gov,4.0, married, Farming-fishing, White,0,0.0,0.0,40.0,0
18, Private,9.0, Never-married, Sales, White,0,0.0,0.0,30.0,0
52, Private,13.0, married, Other-service, White,0,0.0,0.0,40.0,0
46, Private,9.0, married, Other-service, White,1,0.0,0.0,40.0,0
59, Private,9.0, married, Sales, White,0,0.0,0.0,48.0,0
44, Private,9.0, separated, Craft-repair, White,1,14344.0,0.0,40.0,1
53, Private,9.0, separated, Sales, White,1,0.0,0.0,35.0,0
49, gov,9.0, married, Protective-serv, White,0,0.0,0.0,40.0,1
33, Private,14.0, married, Prof-specialty, White,0,0.0,0.0,50.0,0
30, Private,5.0, Never-married, Sales, White,0,0.0,0.0,40.0,0
43, gov,16.0, Never-married, Prof-specialty, White,1,0.0,0.0,50.0,1
57, Private,11.0, married, Prof-specialty, White,0,0.0,0.0,40.0,0
37, Private,10.0, separated, Craft-repair, White,1,0.0,0.0,40.0,0
28, Private,10.0, separated, Machine-op-inspct, Black,1,0.0,0.0,25.0,0
30, Private,9.0, married, Sales, Asian-Pac-Islander,1,0.0,1573.0,35.0,0
34, gov,13.0, married, Protective-serv, White,0,0.0,0.0,40.0,1
29, gov,10.0, Never-married, Handlers-cleaners, White,0,0.0,0.0,50.0,0
48, Self-employed,16.0, married, Prof-specialty, White,0,0.0,1902.0,60.0,1
37, Private,10.0, married, Sales, White,0,0.0,0.0,48.0,1
48, Private,12.0, separated, Exec-managerial, White,1,0.0,0.0,40.0,0
32, gov,9.0, Never-married, Other-service, Black,0,0.0,0.0,40.0,0
76, Private,14.0, married, Exec-managerial, White,0,0.0,0.0,40.0,1
44, Private,13.0, married, Exec-managerial, White,0,15024.0,0.0,60.0,1
47, Self-employed,14.0, Never-married, Prof-specialty, White,1,0.0,0.0,50.0,0
20, Private,10.0, Never-married, Tech-support, White,1,0.0,0.0,40.0,0
29, Private,9.0, Never-married, Craft-repair, White,0,0.0,0.0,40.0,0
32, Self-employed,9.0, married, Craft-repair, White,0,7688.0,0.0,40.0,1
30, Private,7.0, Never-married, Handlers-cleaners, White,0,0.0,0.0,40.0,0
31, gov,9.0, Never-married, Adm-clerical, White,1,0.0,0.0,40.0,0
42, Private,9.0, married, Handlers-cleaners, White,0,0.0,0.0,40.0,0
24, Private,13.0, Never-married, Sales, White,0,0.0,0.0,40.0,0
38, Private,15.0, married, Prof-specialty, White,0,0.0,0.0,40.0,1
56, Self-employed,9.0, married, Other-service, White,0,0.0,1887.0,50.0,1
28, Private,10.0, married, Sales, White,1,4064.0,0.0,25.0,0
36, Private,9.0, Never-married, Machine-op-inspct, White,1,0.0,0.0,40.0,0
53, Private,5.0, married, Handlers-cleaners, White,0,0.0,0.0,50.0,0
56, Self-employed,10.0, married, Sales, White,0,0.0,0.0,50.0,0
49, gov,11.0, married, Craft-repair, Black,0,0.0,0.0,40.0,1
55, Private,10.0, married, Sales, White,0,0.0,0.0,56.0,0
22, Private,9.0, Never-married, Craft-repair, White,0,0.0,0.0,41.0,0
21, Private,10.0, Never-married, Other-service, White,1,0.0,0.0,40.0,0
40, Private,13.0, married, Exec-managerial, White,0,0.0,0.0,60.0,0
