age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,previous,term_deposit
58,management,married,tertiary,0,2143,1,0,unknown,1-10,Q2,261,1,0,0
44,technician,single,secondary,0,29,1,0,unknown,1-10,Q2,151,1,0,0
33,entrepreneur,married,secondary,0,2,1,1,unknown,1-10,Q2,76,1,0,0
35,management,married,tertiary,0,231,1,0,unknown,1-10,Q2,139,1,0,0
28,management,single,tertiary,0,447,1,1,unknown,1-10,Q2,217,1,0,0
42,entrepreneur,divorced,tertiary,1,2,1,0,unknown,1-10,Q2,380,1,0,0
58,retired,married,primary,0,121,1,0,unknown,1-10,Q2,50,1,0,0
43,technician,single,secondary,0,593,1,0,unknown,1-10,Q2,55,1,0,0
41,admin.,divorced,secondary,0,270,1,0,unknown,1-10,Q2,222,1,0,0
29,admin.,single,secondary,0,390,1,0,unknown,1-10,Q2,137,1,0,0
53,technician,married,secondary,0,6,1,0,unknown,1-10,Q2,517,1,0,0
57,services,married,secondary,0,162,1,0,unknown,1-10,Q2,174,1,0,0
51,retired,married,primary,0,229,1,0,unknown,1-10,Q2,353,1,0,0
57,blue-collar,married,primary,0,52,1,0,unknown,1-10,Q2,38,1,0,0
60,retired,married,primary,0,60,1,0,unknown,1-10,Q2,219,1,0,0
33,services,married,secondary,0,0,1,0,unknown,1-10,Q2,54,1,0,0
28,blue-collar,married,secondary,0,723,1,1,unknown,1-10,Q2,262,1,0,0
56,management,married,tertiary,0,779,1,0,unknown,1-10,Q2,164,1,0,0
32,blue-collar,single,primary,0,23,1,1,unknown,1-10,Q2,160,1,0,0
25,services,married,secondary,0,50,1,0,unknown,1-10,Q2,342,1,0,0
40,retired,married,primary,0,0,1,1,unknown,1-10,Q2,181,1,0,0
44,admin.,married,secondary,0,-372,1,0,unknown,1-10,Q2,172,1,0,0
39,management,single,tertiary,0,255,1,0,unknown,1-10,Q2,296,1,0,0
52,entrepreneur,married,secondary,0,113,1,1,unknown,1-10,Q2,127,1,0,0
46,management,single,secondary,0,-246,1,0,unknown,1-10,Q2,255,2,0,0
36,technician,single,secondary,0,265,1,1,unknown,1-10,Q2,348,1,0,0
57,technician,married,secondary,0,839,0,1,unknown,1-10,Q2,225,1,0,0
49,management,married,tertiary,0,378,1,0,unknown,1-10,Q2,230,1,0,0
60,admin.,married,secondary,0,39,1,1,unknown,1-10,Q2,208,1,0,0
59,blue-collar,married,secondary,0,0,1,0,unknown,1-10,Q2,226,1,0,0
51,management,married,tertiary,0,10635,1,0,unknown,1-10,Q2,336,1,0,0
57,technician,divorced,secondary,0,63,1,0,unknown,1-10,Q2,242,1,0,0
25,blue-collar,married,secondary,0,-7,1,0,unknown,1-10,Q2,365,1,0,0
53,technician,married,secondary,0,-3,0,0,unknown,1-10,Q2,1666,1,0,0
36,admin.,divorced,secondary,0,506,1,0,unknown,1-10,Q2,577,1,0,0
37,admin.,single,secondary,0,0,1,0,unknown,1-10,Q2,137,1,0,0
44,services,divorced,secondary,0,2586,1,0,unknown,1-10,Q2,160,1,0,0
50,management,married,secondary,0,49,1,0,unknown,1-10,Q2,180,2,0,0
54,retired,married,secondary,0,529,1,0,unknown,1-10,Q2,1492,1,0,0
36,admin.,single,primary,0,-171,1,0,unknown,1-10,Q2,242,1,0,0
58,self-employed,married,tertiary,0,-364,1,0,unknown,1-10,Q2,355,1,0,0
44,technician,married,secondary,0,0,1,0,unknown,1-10,Q2,225,2,0,0
55,technician,divorced,secondary,0,0,0,0,unknown,1-10,Q2,160,1,0,0
29,management,single,tertiary,0,0,1,0,unknown,1-10,Q2,363,1,0,0
54,blue-collar,married,secondary,0,1291,1,0,unknown,1-10,Q2,266,1,0,0
48,management,divorced,tertiary,0,-244,1,0,unknown,1-10,Q2,253,1,0,0
32,management,married,tertiary,0,0,1,0,unknown,1-10,Q2,179,1,0,0
42,admin.,single,secondary,0,-76,1,0,unknown,1-10,Q2,787,1,0,0
24,technician,single,secondary,0,-103,1,1,unknown,1-10,Q2,145,1,0,0
38,entrepreneur,single,tertiary,0,243,0,1,unknown,1-10,Q2,174,1,0,0
38,management,single,tertiary,0,424,1,0,unknown,1-10,Q2,104,1,0,0
46,services,married,primary,0,179,1,0,unknown,1-10,Q2,1778,1,0,0
32,admin.,married,tertiary,0,0,1,0,unknown,1-10,Q2,138,1,0,0
53,technician,divorced,secondary,0,989,1,0,unknown,1-10,Q2,812,1,0,0
57,blue-collar,married,primary,0,249,1,0,unknown,1-10,Q2,164,1,0,0
33,services,married,secondary,0,790,1,0,unknown,1-10,Q2,391,1,0,0
51,management,married,tertiary,0,6530,1,0,unknown,1-10,Q2,91,1,0,0
60,retired,married,tertiary,0,100,0,0,unknown,1-10,Q2,528,1,0,0
59,management,divorced,tertiary,0,59,1,0,unknown,1-10,Q2,273,1,0,0
55,technician,married,secondary,0,1205,1,0,unknown,1-10,Q2,158,2,0,0
35,blue-collar,single,secondary,0,12223,1,1,unknown,1-10,Q2,177,1,0,0
57,blue-collar,married,secondary,0,5935,1,1,unknown,1-10,Q2,258,1,0,0
31,services,married,secondary,0,25,1,1,unknown,1-10,Q2,172,1,0,0
54,management,married,secondary,0,282,1,1,unknown,1-10,Q2,154,1,0,0
55,blue-collar,married,primary,0,23,1,0,unknown,1-10,Q2,291,1,0,0
43,technician,married,secondary,0,1937,1,0,unknown,1-10,Q2,181,1,0,0
53,technician,married,secondary,0,384,1,0,unknown,1-10,Q2,176,1,0,0
44,blue-collar,married,secondary,0,582,0,1,unknown,1-10,Q2,211,1,0,0
55,services,divorced,secondary,0,91,0,0,unknown,1-10,Q2,349,1,0,0
49,services,divorced,secondary,0,0,1,1,unknown,1-10,Q2,272,1,0,0
55,services,divorced,secondary,1,1,1,0,unknown,1-10,Q2,208,1,0,0
45,admin.,single,secondary,0,206,1,0,unknown,1-10,Q2,193,1,0,0
47,services,divorced,secondary,0,164,0,0,unknown,1-10,Q2,212,1,0,0
42,technician,single,secondary,0,690,1,0,unknown,1-10,Q2,20,1,0,0
59,admin.,married,secondary,0,2343,1,0,unknown,1-10,Q2,1042,1,0,1
46,self-employed,married,tertiary,0,137,1,1,unknown,1-10,Q2,246,1,0,0
51,blue-collar,married,primary,0,173,1,0,unknown,1-10,Q2,529,2,0,0
56,admin.,married,secondary,0,45,0,0,unknown,1-10,Q2,1467,1,0,1
41,technician,married,secondary,0,1270,1,0,unknown,1-10,Q2,1389,1,0,1
46,management,divorced,secondary,0,16,1,1,unknown,1-10,Q2,188,2,0,0
57,retired,married,secondary,0,486,1,0,unknown,1-10,Q2,180,2,0,0
